code,label,chapter,billable
A16.7,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica",Ciertas enfermedades infecciosas y parasitarias,true
A16.8,"Otras tuberculosis respiratorias, sin mención de confirmación",Ciertas enfermedades infecciosas y parasitarias,true
A16.9,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica",Ciertas enfermedades infecciosas y parasitarias,true
A17,Tuberculosis del sistema nervioso,Ciertas enfermedades infecciosas y parasitarias,false
A17.0,Meningitis tuberculosa (G01),Ciertas enfermedades infecciosas y parasitarias,true
A17.1,Tuberculoma meníngeo (G07),Ciertas enfermedades infecciosas y parasitarias,true
A17.8,Otras tuberculosis del sistema nervioso,Ciertas enfermedades infecciosas y parasitarias,true
A17.9,"Tuberculosis del sistema nervioso, no especificada (G99.8)",Ciertas enfermedades infecciosas y parasitarias,true
A18,Tuberculosis de otros órganos,Ciertas enfermedades infecciosas y parasitarias,false
A18.0,Tuberculosis de huesos y articulaciones,Ciertas enfermedades infecciosas y parasitarias,true
A18.1,Tuberculosis del aparato genitourinario,Ciertas enfermedades infecciosas y parasitarias,true
A18.2,Linfadenopatía periférica tuberculosa,Ciertas enfermedades infecciosas y parasitarias,true
A18.3,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos",Ciertas enfermedades infecciosas y parasitarias,true
A18.4,Tuberculosis de la piel y el tejido subcutáneo,Ciertas enfermedades infecciosas y parasitarias,true
A18.5,Tuberculosis del ojo,Ciertas enfermedades infecciosas y parasitarias,true
A18.6,Tuberculosis del oído,Ciertas enfermedades infecciosas y parasitarias,true
A18.7,Tuberculosis de glándulas suprarrenales (E35.1),Ciertas enfermedades infecciosas y parasitarias,true
A18.8,Tuberculosis de otros órganos especificados,Ciertas enfermedades infecciosas y parasitarias,true
A19,Tuberculosis miliar,Ciertas enfermedades infecciosas y parasitarias,false
A19.0,Tuberculosis miliar aguda de un solo sitio especificado,Ciertas enfermedades infecciosas y parasitarias,true
A19.1,Tuberculosis miliar aguda de sitios múltiples,Ciertas enfermedades infecciosas y parasitarias,true
A19.2,"Tuberculosis miliar aguda, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A19.8,Otras tuberculosis miliares,Ciertas enfermedades infecciosas y parasitarias,true
A19.9,"Tuberculosis miliar, sin otra especificación",Ciertas enfermedades infecciosas y parasitarias,true
A20,Peste,Ciertas enfermedades infecciosas y parasitarias,false
A20.0,Peste bubónica,Ciertas enfermedades infecciosas y parasitarias,true
A20.1,Peste celulocutánea,Ciertas enfermedades infecciosas y parasitarias,true
A20.2,Peste neumónica,Ciertas enfermedades infecciosas y parasitarias,true
A20.3,Meningitis por peste,Ciertas enfermedades infecciosas y parasitarias,true
A20.7,Peste septicémica,Ciertas enfermedades infecciosas y parasitarias,true
A20.8,Otras formas de peste,Ciertas enfermedades infecciosas y parasitarias,true
A20.9,"Peste, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A21,Tularemia,Ciertas enfermedades infecciosas y parasitarias,false
A21.0,Tularemia ulceroglandular,Ciertas enfermedades infecciosas y parasitarias,true
A21.1,Tularemia oculoglandular,Ciertas enfermedades infecciosas y parasitarias,true
A21.2,Tularemia pulmonar,Ciertas enfermedades infecciosas y parasitarias,true
A21.3,Tularemia gastrointestinal,Ciertas enfermedades infecciosas y parasitarias,true
A21.7,Tularemia generalizada,Ciertas enfermedades infecciosas y parasitarias,true
A21.8,Otras formas de tularemia,Ciertas enfermedades infecciosas y parasitarias,true
A21.9,"Tularemia, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A22,Carbunco [ántrax],Ciertas enfermedades infecciosas y parasitarias,false
A22.0,Carbunco cutáneo,Ciertas enfermedades infecciosas y parasitarias,true
A22.1,Carbunco pulmonar,Ciertas enfermedades infecciosas y parasitarias,true
A22.2,Carbunco gastrointestinal,Ciertas enfermedades infecciosas y parasitarias,true
A22.7,Carbunco septicémico,Ciertas enfermedades infecciosas y parasitarias,true
A22.8,Otras formas de carbunco,Ciertas enfermedades infecciosas y parasitarias,true
A22.9,"Carbunco, no especificado",Ciertas enfermedades infecciosas y parasitarias,true
A23,Brucelosis,Ciertas enfermedades infecciosas y parasitarias,false
A23.0,Brucelosis debida a Brucella melitensis,Ciertas enfermedades infecciosas y parasitarias,true
A23.1,Brucelosis debida a Brucella abortus,Ciertas enfermedades infecciosas y parasitarias,true
A23.2,Brucelosis debida a Brucella suis,Ciertas enfermedades infecciosas y parasitarias,true
A23.3,Brucelosis debida a Brucella canis,Ciertas enfermedades infecciosas y parasitarias,true
A23.8,Otras brucelosis,Ciertas enfermedades infecciosas y parasitarias,true
A23.9,"Brucelosis, no especificada",Ciertas enfermedades infecciosas y parasitarias,true
A24,Muermo y melioidosis,Ciertas enfermedades infecciosas y parasitarias,false
A24.0,Muermo,Ciertas enfermedades infecciosas y parasitarias,true
A24.1,Melioidosis aguda y fulminante,Ciertas enfermedades infecciosas y parasitarias,true
